global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
9199,D4_S1_M00,1,0.3814600495057504,0.5976346913596531,0.5960615425574912,0.2610741217240483,0.2592228879206093,1.0315861701965332,1.0318528413772583,1.2174341678619385,1.1824907064437866,-9.385968875939888,-9.362464475327045,4.549940671891779,4.84344602391724,-15.310311411562314,-10.037812710432508,-10.4720248746133,-10.82945091366925,-3.390264623970558,-3.662676741640457,-5.87252931951233,-4.445251185002359,0.9984219770763705,
9200,D4_S1_M00,2,0.38739071565309546,0.5756010223282265,0.5729898686805628,0.26491035176107147,0.2509773577924793,1.8637930154800415,1.0588181018829346,2.7800798416137695,0.7928409576416016,-9.309245624278436,-9.501001781844426,4.017213564257824,4.731919793140359,-23.702802145620797,-17.40751677468385,-9.954938576357309,-11.591888615287312,-3.0696264043762977,-3.5723185364802905,-7.421920611164775,-7.244863366061004,0.8889115359020798,0.9194141686205137
9201,D4_S1_M00,3,0.41938045838945454,0.5798670393962755,0.5817589392012136,0.2977729272853094,0.3015307612485198,1.0293070077896118,1.0300043821334839,1.1655797958374023,1.1135541200637817,-8.845862383151141,-8.964697599753178,3.1275322500465035,3.667086555932649,-13.460106661635605,-10.377423695477486,-8.522022363002487,-9.293584858250142,-2.9001587151721986,-3.218780988068366,-3.9776926134411656,-3.4949909869512474,0.9934313185487552,0.9983228900602938
9202,D4_S1_M00,4,0.4804616799492247,0.6268474927925162,0.6157782467612908,0.3090943273750289,0.31442400771007273,1.0268672704696655,1.042039155960083,1.3265602588653564,1.33030366897583,-8.909232331986326,-8.926387209798042,3.6802965947769772,4.230189386196132,-16.33094392492255,-11.77763994295417,-8.835248097803026,-9.910257935576494,-3.3270624833755758,-3.236031621953164,-4.443116727196328,-4.518210842509908,0.997321635577354,0.9991851072828648
9203,D4_S1_M00,5,0.41635145698901777,0.6085147258970223,0.600782052171887,0.2708104658879216,0.2694529163238957,1.033568024635315,1.0451594591140747,1.1948590278625488,1.209192156791687,-9.182418527552672,-9.180151347992316,3.111786121178562,3.6425171430610277,-17.42036615783083,-11.335974054623904,-9.664344884988669,-10.308531354888942,-3.1979286141294816,-3.47695406076195,-5.786586066027888,-4.523847472417103,0.999505375480455,0.999949104075515
9204,D4_S1_M00,6,0.4284785546767914,0.6235077970878389,0.6157175449158155,0.2673864639418494,0.2874816478876668,1.0243059396743774,1.0326732397079468,0.9178552031517029,1.0523662567138672,-9.019196145842386,-9.026600939004345,2.498760213203596,2.867424236163718,-15.283251988163942,-10.97710381042361,-8.99674812678371,-8.968777867600132,-2.9120139777153966,-2.7739720119996756,-4.962279607697987,-3.8369889605136125,0.9962517770829012,0.9993398311665319
9205,D4_S1_M00,7,0.4119104790674428,0.6550732636211245,0.6663391708346333,0.32896191107389494,0.3321095127788546,1.045729160308838,1.0445526838302612,1.3607977628707886,1.4160138368606567,-7.9354182896949625,-8.429446481566794,3.241861423797396,3.431483995380237,-19.395097654180592,-20.98821671922164,-5.705785121338478,-7.13357894734529,-1.8552485035637187,-2.843873372196497,-3.818147507004955,-3.9577299266370125,0.999804246124713,0.9998972240869024
9206,D4_S1_M00,8,0.23104151143048668,0.5042557649858003,0.506579029838028,0.1547046036770203,0.15734822818290664,1.0278278589248657,1.0267796516418457,0.9762927293777466,0.8906072974205017,-9.051001370281549,-9.252525106067333,2.1708157637044407,2.6407266008064125,-24.277940314792815,-23.598174903050122,-9.265985726463608,-10.440348195378963,-2.389660244885505,-3.1989383858545564,-7.957838603491139,-7.7249485226255645,0.9992079099616532,0.9442514436403292
9207,D4_S1_M00,9,0.3168019574762826,0.5786414539956857,0.584552943788086,0.21972079926936786,0.2201317714470641,1.0520190000534058,1.0549932718276978,1.216017484664917,1.6538074016571045,-8.738247556633961,-9.098345460538503,2.362571361268655,2.2526329000407435,-21.11212300736205,-21.724113897288852,-8.357674437492404,-8.897190890072956,-2.102949497646661,-2.8103995332891762,-6.9200740593279395,-6.371230990066376,0.9999572123073452,0.9999795007908842
9208,D4_S1_M00,10,0.20784671786331202,0.45303120688899834,0.45749034700139946,0.1848785548749072,0.18013978118144863,1.043768286705017,1.057136058807373,1.008663296699524,0.9787536859512329,-8.547807634560968,-9.067252289727344,2.873445325674009,3.14870463704994,-21.322225688128547,-21.577665466524675,-8.907060529854828,-10.289888499973559,-1.9308538389901706,-2.383301481087571,-7.8478387328970385,-8.51032126166987,0.9999536198043916,0.999529276682684
9209,D4_S1_M01,1,0.5375225997616571,0.685998418901919,0.6918066800562456,0.5050035890591514,0.5182584512946428,1.069189190864563,1.073158860206604,1.4773942232131958,1.4376506805419922,-5.242883838252011,-5.543246879772991,4.316787735639556,5.123683760029922,-1.346046367871236,-1.5903285668262686,-2.798417185055411,-2.963863265530993,-0.3942552849570625,-1.1201807858297488,4.7912571407518545,5.831130664224931,0.9994034419995002,0.9995972726295963
