global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
9199,D4_S1_M00,1,0.22974001910766031,0.49549747359742474,0.41733333620004687,0.10821853150675688,0.0332652949022937,1.0234559774398804,1.0297297239303589,0.7406337261199951,1.0294156074523926,-9.94754137240269,-10.0,2.9671779054403196,3.0949641426740504,-21.245069213330687,-21.099162775563897,-16.740087659112696,-21.09532547353881,-5.085677773622573,-6.059780099241468,-11.100307672558255,-13.93661624284557,0.9614019364829989,
9200,D4_S1_M00,2,0.2669716676090281,0.5025394992823116,0.42123759362999014,0.13954264201776798,0.08336475711715069,1.170372724533081,1.0542502403259277,0.6079593300819397,0.47337988018989563,-9.903704832150268,-9.972835917631057,2.7582842824257963,3.8588038928530715,-29.467996813671313,-21.892485262423026,-15.882796851189172,-20.289908648235148,-5.17069906351,-4.866523001116963,-11.177183436369951,-14.447142505919876,0.9914825523467922,0.9612732589168704
9201,D4_S1_M00,3,0.2214537921102819,0.4209056967472124,0.3928335915718921,0.1226220547289327,0.09191358008816443,1.0560176372528076,1.0263947248458862,2.0225088596343994,0.7291536331176758,-9.88021590640218,-9.95467099808034,1.7190182799041405,2.2252831793134256,-17.316164093817616,-19.327839157864826,-14.893855733432403,-16.671194903178616,-4.386224205661282,-4.3458891752198205,-9.360600739645333,-11.3685705300864,0.9905074405415796,0.7842573014855495
9202,D4_S1_M00,4,0.3134617249578394,0.508663324620125,0.4428631328102842,0.1524788664249753,0.10002940842095993,1.0271176099777222,1.0292733907699585,1.1845858097076416,1.0234577655792236,-9.927242414422084,-10.0,2.6880237307657118,3.0555144083270336,-21.488593961952574,-21.411179313614873,-15.242843262043879,-18.25422612859177,-5.218056756779879,-6.248169797858132,-9.608601052821067,-11.339519489741773,0.9038009959040982,0.9306768758164354
9203,D4_S1_M00,5,0.25628650068816283,0.49687083276651767,0.40568442828671125,0.14583690469175187,0.08478724119450683,1.0639567375183105,1.040169358253479,1.3953253030776978,0.768767774105072,-9.906438902650057,-9.98945910872272,1.9015181645783032,2.4648030095784956,-25.63430469646384,-22.5268520908957,-15.556284318499351,-20.01522207141656,-5.440720476961552,-5.862498593432433,-10.166082654576634,-13.455812717571812,0.9691335149813776,0.9578887631613645
9204,D4_S1_M00,6,0.24902609141936632,0.5021154234751337,0.45487078700462114,0.1273305721018432,0.11348326925127523,1.1606165170669556,1.0245721340179443,1.4858487844467163,0.7944648861885071,-9.940321774343854,-9.96695643710813,1.5105804090906099,1.6498608291141577,-21.083718019050146,-18.53472740920608,-15.68263489496718,-17.281580830595665,-4.877172960313091,-5.271166965209498,-10.329936210179378,-10.874543513951549,0.9614310263235417,0.9977767564378784
9205,D4_S1_M00,7,0.294028326221032,0.49316096206287596,0.5519712094082152,0.14637463691019204,0.19134580457198658,1.062243938446045,1.1473534107208252,3.796799659729004,1.293410062789917,-9.789000647523027,-9.68273666853978,2.3907464450928657,1.723680079269737,-21.869441348049964,-24.568416697293106,-14.297710215858926,-13.042672636793613,-2.752445928201283,-3.636630393677744,-11.637489824278358,-9.880711729646608,0.8278858197895661,0.9634047539329432
9206,D4_S1_M00,8,0.12895891754899214,0.41405118677789665,0.4089348197026947,0.06589055041392526,0.054513907696570996,1.0313880443572998,1.2872295379638672,0.7299198508262634,1.3276395797729492,-9.936755386598552,-9.958584835706157,1.328847510651984,1.0594926336558466,-27.3787852876562,-26.611119078906516,-17.189535997928743,-17.760761477867746,-4.06614762903682,-3.738281420035677,-13.615204912302534,-14.39532478372911,0.10605664728086137,0.9322207729518256
9207,D4_S1_M00,9,0.25507420060029495,0.4540776867543848,0.5108002430481172,0.09837457248668358,0.11469325747961262,1.1193126440048218,1.0497329235076904,1.8831064701080322,2.352630138397217,-9.982926329855976,-9.844140094680522,1.9619587017798477,1.3731677211982076,-28.037055575171664,-29.569586157268223,-18.125662554604702,-14.972401283715069,-4.078883546314248,-4.052506487588013,-14.537647941275125,-11.793339514679282,0.7847588275344359,0.9988746780491459
9208,D4_S1_M00,10,0.15045037008542952,0.3404621711618299,0.3703107128957223,0.047001668929515454,0.1056826841632995,1.0369547605514526,3.184901475906372,1.380328893661499,2.5921378135681152,-9.976140982586028,-9.948503920215385,1.4508459294963945,2.0393682559691095,-28.13223756714713,-33.63585249696313,-18.461546844532847,-16.91551596793101,-3.8438797813462653,-4.096545222036816,-15.132537003328732,-13.99216370092062,0.5975452000590148,0.6947587049297801
