global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
6133,D3_S1_M00,1,0.34466899508178933,0.5387602174943813,0.5437442363519823,0.2364888537083693,0.24711785378783183,1.052114486694336,1.054687261581421,1.263851523399353,1.267250418663025,-9.157471465616988,-9.25293445180638,4.376023380116838,4.626781646745545,-25.433712143679557,-19.63207147513025,-9.904351112097824,-10.228667896366302,-4.041573610485202,-4.127907399577167,-5.909626152116877,-5.484099217402648,0.9970700859691114,0.9205019541881295
6134,D3_S1_M00,2,0.44389631933762635,0.5769114689633154,0.5783400347826151,0.3365050550269179,0.3396889844231733,1.041124701499939,1.0397343635559082,1.4391118288040161,1.2883411645889282,-7.92199297885092,-8.300539999660309,4.04728324616418,4.293980469456899,-20.631480669246784,-17.67257137001281,-6.6504105768366255,-7.443810033512474,-2.9898355888371237,-3.1767623767208395,-2.8679899826544015,-3.1906773244005553,0.8949993249907294,0.9996825811499055
6135,D3_S1_M00,3,0.3296034479724901,0.6697998723800567,0.6568292534713426,0.2449448353148865,0.2511254840776611,1.0630848407745361,1.0674608945846558,1.345418095588684,1.227207064628601,-9.29915793624424,-9.307154102624454,3.5792060292873535,4.592992010132049,-20.234227431867225,-20.28436200157372,-10.468307590758624,-10.812740962443538,-0.9991125086984729,-1.527457822586604,-10.430815891668523,-9.9297981263324,0.6411361763810198,0.9999836422858615
6136,D3_S1_M00,4,0.3091384185707046,0.4961653466818659,0.4770034284438346,0.1898125468054602,0.1759777019011363,1.053760051727295,1.0532854795455933,1.4908899068832397,1.4521105289459229,-9.337107984386979,-9.427839253038117,5.152981653061482,5.639509827337748,-21.071788283381263,-19.974804013987704,-11.022115170894992,-11.034880229774991,-2.1532848807086307,-2.7991377610463744,-9.41938426082444,-8.266461895334537,0.9347169030398473,0.9851331282003944
6137,D3_S1_M00,5,0.3849284579539219,0.5753886378471209,0.5409687086890939,0.25062462762038407,0.24487808799748886,1.0407326221466064,1.0413559675216675,1.0155667066574097,1.203722357749939,-9.243744146042722,-9.304946585172939,3.283378177683332,4.006032934428142,-16.299437072744208,-15.456144798497636,-10.139240183229727,-10.226144502663848,-1.8327850674169943,-2.3470083040689858,-7.694730364710302,-6.898299547942489,0.9965685070495504,0.9998925645776304
6138,D3_S1_M00,6,0.35912131838420214,0.5642736081515751,0.5658769932712128,0.23838688957355725,0.23815446382003402,1.0573384761810303,1.056579828262329,1.4390599727630615,1.4430623054504395,-7.356441212520301,-8.211164010181832,2.9183920366182137,3.414384171692301,-5.950669938450524,-6.0627593289180215,-5.053015622158526,-6.805990347563917,1.1707161636344408,-1.4370580622696334,-1.9253909900706323,-1.2236596796451908,0.9957876439505026,0.999629129058039
6139,D3_S1_M00,7,0.30289967664402906,0.5591909649333863,0.5633493656134074,0.206643538978807,0.20849152579944275,1.049587607383728,1.0480968952178955,1.456014633178711,1.447733759880066,-7.723722628292313,-8.479570792481466,2.6693293288532063,3.55199570522408,-6.8791330836954625,-6.3591042336662795,-5.7815346878036795,-7.796888762328682,1.4172214414000008,-1.1792281999616714,-3.1582683388234196,-2.471200025716264,0.8636303851047284,0.8571024932940181
6140,D3_S1_M00,8,0.28216878434030895,0.48131256444284676,0.4770661474363176,0.24134724679862335,0.2422092680086055,1.0645021200180054,1.0652453899383545,1.1372878551483154,1.1480046510696411,-8.030860853091102,-8.86721712936429,3.3250602953480852,3.667111219600695,-7.687466994886306,-9.071643744030876,-7.107005951520876,-8.943458950220574,1.3240239057946739,-1.4221926301640262,-4.373605484204374,-4.371994308356042,0.9660305065503642,0.7432680913220626
6141,D3_S1_M01,1,0.7339029642557083,0.8761803599689891,0.8773410090008388,0.6544703468621701,0.661953323365367,1.264548897743225,1.225156307220459,2.1562061309814453,2.134559392929077,-5.440650398921493,-5.1131209681157905,7.179276654875764,6.4903803257377675,-7.166290487186755,-8.19149733687599,-0.8499477227720208,-0.2835950884953973,-0.13570290174317742,0.2286234720748171,6.620420397743203,6.5447298089113195,0.8827110147118391,0.8703216446436712
6142,D3_S1_M01,2,0.6078047848671791,0.7506997010292765,0.7549959448895622,0.5401279977014459,0.5547906835700034,1.1098546981811523,1.112131953239441,1.8610788583755493,1.851146936416626,-4.457203343960663,-4.197292872974288,5.423132681357788,5.193812736647116,-6.837951550437814,-7.171209525240708,-1.2878132351316878,-0.23774135964942655,-0.26078436114094483,0.45194616761337825,5.480072146032569,5.853570390821732,0.8771329385708887,0.8802806852459688
