global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
1,D1_S1_M00,1,0.3434479357142602,0.39179979024329653,0.4032896101620191,0.27111368168316075,0.27793563117214093,1.1225335597991943,1.1303082704544067,1.959977626800537,2.049011468887329,-1.233671149179396,-0.9999804546466766,7.398818740917642,7.196884383157845,-28.47636150362139,-46.96488418683366,-0.16401034642340284,-0.08569873007505485,-0.07866218448106743,-0.012702700686252804,-5.2248860349783826,-6.034521090724001,0.5151696751001578,0.44288636015441063
2,D1_S1_M00,2,0.3858080992729524,0.44992601962712936,0.4552501088585329,0.33004912301615463,0.3339410446490203,1.1006271839141846,1.1362695693969727,1.5318251848220825,1.5964305400848389,-0.4468883202378763,-0.42935402455144994,6.791693614373205,6.120209476001614,-19.3243821744434,-22.638198779269032,0.04197214969257033,0.00646856101410609,0.11077172168028196,0.06105987621007967,-3.2552881201321373,-3.104703090127537,0.5505556920575282,0.66158344863041
3,D1_S1_M00,3,0.2553059152986364,0.34682071377070645,0.30610346802305166,0.1709735383406907,0.15689149611388434,1.121971845626831,1.1110751628875732,1.6093685626983643,1.827828049659729,-1.898721388868595,-1.5891579535810734,8.0122397591946,7.666731433386894,-47.770644834741994,-60.9458681208724,-0.14515278284692176,-0.12115536726944726,-0.021683217081843863,-0.022638870117370532,-6.461456577367434,-6.7040074186269365,0.9719232859620797,0.47906422515763425
4,D1_S1_M00,4,0.2131663935101064,0.32321685353130775,0.27753279098624645,0.17567926206347498,0.15614667197323734,1.0835106372833252,1.0592131614685059,2.178755760192871,0.8899674415588379,-1.199357851933529,-1.079704435479928,7.844608953504667,6.998454314465235,-29.721327317570317,-32.85421228587907,-0.13704811033062753,-0.10745271912621301,0.020020305433442437,0.0134863582336674,-5.9055182352794375,-7.3229638211959625,0.14155612393615769,0.05275268077403235
5,D1_S1_M00,5,0.2981447122585819,0.49418944376243834,0.4409070571744076,0.33632866349553403,0.309676280661008,1.095190405845642,1.0816195011138916,1.5356699228286743,1.7608236074447632,-1.0667556445064648,-0.829840998024505,7.063096365442863,6.43318225617404,-22.53592967859515,-29.362313625420526,-0.2318304851240628,-0.12355605821138453,-0.14617633967934757,-0.05846531253712781,-3.7310726855489964,-5.740003350933138,0.9293880923799109,0.6889139379722191
6,D1_S1_M00,6,0.27624415400343016,0.34393390091081855,0.3322984966889402,0.22266736368589843,0.2081675539539219,1.118132472038269,1.1122450828552246,1.6399786472320557,1.633923888206482,-1.6538080897028542,-1.336594400026587,5.841516655626712,5.486914437341044,-38.9576248298217,-29.79032001501229,-0.1862554009938034,-0.1052729405950478,0.009572586361121774,0.04542352424396008,-12.190123677644442,-12.315567317804547,0.7955869427379645,0.5158302838415619
7,D1_S1_M00,7,0.290881159683764,0.38705056629395174,0.3683824998811158,0.21421255017644417,0.20036894154180476,1.1051679849624634,1.10401451587677,1.7257474660873413,1.5066050291061401,-2.621954158838785,-2.1624067367987414,6.014211995649503,5.625178199757741,-41.368244323338246,-37.00319960057308,-0.2605266169326308,-0.21336658435011588,0.003340155435013417,-0.03550938024045414,-12.369054982141709,-12.707603279077242,0.8517789247676999,0.3620677750356121
8,D1_S1_M00,8,0.23632527557243402,0.32711874136755165,0.3159613459116132,0.18190891033488188,0.2045984621868777,1.1247258186340332,1.369581937789917,1.6139074563980103,1.286855697631836,-2.850531514470762,-2.2302317330820682,5.970204777481473,5.496968267873156,-24.27900200218497,-26.963189550973247,-0.4326553139962338,-0.2940193173817622,-0.1818054640287753,-0.1176148520545241,-7.916765620102888,-7.595034845190098,0.9841682231729278,0.7836760740936217
9,D1_S1_M01,1,0.5612209018761948,0.5456953926321839,0.6122771090774646,0.32599798847390105,0.4233655139405912,1.1458995342254639,1.1593079566955566,1.903259038925171,2.013869285583496,-0.7606798843460024,-0.6483735511525381,7.840961727955491,7.530052547448845,-15.134352500871886,-14.41404345662972,0.1305161495002956,0.1448863271126265,0.21918195358734682,0.2092094671556633,-5.024050256718661,-4.023151654615693,0.7713015602541846,0.8530557574513747
10,D1_S1_M01,2,0.4267009566605967,0.44063293723745983,0.4549209890948257,0.2701889752377611,0.28815260931844516,1.1007359027862549,1.118560552597046,1.5181115865707397,1.8512438535690308,-0.3201442638410533,-0.2657131202804691,6.862331574273085,6.309861929262192,-12.730318273973179,-11.780216944547803,0.2116457552053547,0.231987485076495,0.31153463072740856,0.30604616437657517,-4.827998471056861,-4.279797901625098,0.8061828539367685,0.893152567245674
