global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
6133,D3_S1_M00,1,0.17596735549844075,0.42875911599649563,0.4385292346923117,0.10004952998320375,0.11310454991161255,1.0499250888824463,1.052141785621643,1.0271384716033936,1.7617563009262085,-9.996936124633827,-9.980888247501825,3.7021910512458325,3.8827123690408465,-26.264879549235914,-25.100585556238286,-17.2025212663041,-16.595116221305403,-6.32057138220759,-6.475284745525336,-10.825440301998224,-9.929075077363013,0.639284411602297,0.8836062460833247
6134,D3_S1_M00,2,0.27004484357371034,0.4499565284063113,0.4529555240351257,0.19299370992655054,0.185060835450814,1.0337711572647095,1.0311758518218994,1.2455092668533325,1.0412269830703735,-9.901404440455583,-9.746394888834555,3.00218213580081,3.3039964099876586,-25.192742464320826,-18.609220186402506,-14.010488573436827,-13.04246272181054,-6.7392675684400585,-4.95273334118207,-6.808814594333542,-7.291300428312564,0.5766693678464828,0.987488553862219
6135,D3_S1_M00,3,0.15339780884715343,0.6210838065301642,0.593267607542705,0.10891207543839998,0.1002270955618964,1.0498453378677368,1.0513882637023926,0.6325688362121582,0.7711984515190125,-9.948921106149356,-9.961905583717915,3.121278899293202,4.354135876826567,-27.056282329918695,-30.376747165905794,-18.11588566814465,-18.695886876335297,-4.77948068660753,-3.773562506227559,-13.567225606927021,-15.758195145229877,0.6166899348503874,0.9957313451458968
6136,D3_S1_M00,4,0.12857533799308837,0.4284900376903536,0.3884091667646324,0.1299615931474344,0.07003618288203142,1.0566872358322144,1.0623033046722412,1.4605880975723267,1.2086503505706787,-9.969074315217336,-9.990365287938838,4.036059864812163,4.314818101360982,-24.672071814465,-24.691645530124056,-18.07439266896113,-19.17912534125528,-4.638919083447669,-4.330774437080972,-13.334149652653702,-14.610522118252883,0.7449479379611228,0.9840126397466957
6137,D3_S1_M00,5,0.14216803789177232,0.4529692600372001,0.4095223913431427,0.11140096359660161,0.09319274164398234,1.0331218242645264,1.03081476688385,0.7609618306159973,0.5976696014404297,-9.859864809600323,-9.981739930718307,2.3320407263576146,3.913896956497258,-21.265061490933974,-22.987662053380262,-16.376721628262032,-18.83128337641239,-4.089268537264736,-6.095933851156841,-11.797377052142641,-12.250584080584,0.9179113275722319,0.999944530569111
6138,D3_S1_M00,6,0.25180396657012544,0.473468020068514,0.48541793943349043,0.12229834129496102,0.14509031526715366,1.0402053594589233,1.0401465892791748,1.083364486694336,1.0870206356048584,-9.741943892400261,-9.786188091218348,2.1476115038010075,2.2728308423693946,-11.500977012314944,-12.23170207029105,-13.366682759055497,-13.835667967154318,-2.871036724636757,-4.127860012746991,-7.629640122673026,-7.334065669566337,0.8207290144978742,0.9980251733025568
6139,D3_S1_M00,7,0.2177912551291568,0.46816838935489913,0.47719393448963426,0.11161583732832842,0.10955811599610854,1.1369937658309937,1.1640664339065552,1.7030763626098633,1.7004259824752808,-9.748748526911966,-9.873241674669238,1.8852361645555973,2.2940902310763427,-12.677647022786545,-14.289952653803757,-14.087842768707937,-14.946808428646996,-2.4772252030322104,-3.8340902281952607,-8.83556282611875,-9.064634492870507,0.7472236645133588,0.5818153533148064
6140,D3_S1_M00,8,0.19074225867946965,0.41531170636164405,0.3900639036424504,0.1741648476054927,0.12805888865116113,1.0453459024429321,1.071612000465393,0.7602526545524597,0.5602245330810547,-9.93483952783147,-9.918920610532433,2.5653488164712956,2.780144478759074,-16.592472026326263,-18.999865504272552,-16.271017495157682,-16.4545805271899,-3.2924121423881783,-2.4510258316888383,-11.187186421957026,-12.757949231049778,0.9523666582595497,0.9297170475294069
6141,D3_S1_M01,1,0.727881546248299,0.7671949735898096,0.8169893893651492,0.44107404686584206,0.5260222940614554,1.1318329572677612,1.1683677434921265,1.868696689605713,2.0245118141174316,-7.338250942722623,-6.743370289299243,6.305773945357984,6.493979206188511,-8.784181173891842,-8.156798852732463,-4.3617082508722,-2.6934172389609365,-1.962815955249102,-1.4165453131726387,1.7513215843522414,4.632464850800514,0.9409852912031926,0.9897410438898969
6142,D3_S1_M01,2,0.5823631557932439,0.6243054056620686,0.6734696084947797,0.3584936420831212,0.4049724222630595,1.0597862005233765,1.0608203411102295,1.5705684423446655,1.656773567199707,-6.706049968335035,-6.137288257851471,3.5071660018521715,4.309610749730333,-9.924001096711962,-6.986851161247072,-4.623600070042169,-3.0968703914973177,-2.1494045597509333,-1.183975609124308,1.259287110268267,3.27250580959476,0.6478829500978643,0.7607769131088448
