global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
3067,D2_S1_M00,1,0.4244969613585067,0.5510039181996277,0.5702832780510583,0.2587284311304775,0.28565339166444276,1.0552898645401,1.0554602146148682,1.2956864833831787,1.3509830236434937,-7.9446896323929534,-8.268674795538981,4.653387475583643,4.993228260086908,-10.685154979732483,-11.208258024589032,-6.978796570617542,-7.574881140598293,1.0489057133965207,-0.045747383598940365,-5.924232747402161,-5.548695675201443,0.9854324389685619,0.9409626867836136
3068,D2_S1_M00,2,0.495671061245646,0.6047761189402577,0.6054902880585397,0.3671185717226144,0.35744168580498026,1.0568335056304932,1.0626270771026611,1.491321086883545,1.436967372894287,-6.296936358211385,-6.9625181085311825,4.406978376709604,4.912050273446722,-6.106264408741287,-8.944997050577255,-3.8771804331257065,-5.054851952182707,0.8454141273884097,-1.389359450888655,-0.7794333821971076,-0.5009913520690554,0.9605411336977974,0.8786410100270063
3069,D2_S1_M00,3,0.5626354146326024,0.7690736470826359,0.7196792702038943,0.3856781873669931,0.2590212373486877,1.0825138092041016,1.0617746114730835,1.6919736862182617,1.2590131759643555,-9.024161153078788,-9.256351494391089,3.677146258963778,5.163415703503078,-9.17439661821727,-12.636367519477677,-7.503421014992961,-9.237313146411445,-1.0900337559948192,-0.7917857865907021,-3.5203635264474538,-6.681598217978159,0.9979314669972368,0.9990033701104711
3070,D2_S1_M00,4,0.36695483747995994,0.5458991014406044,0.49762773053353165,0.22595082257866983,0.152779161468378,1.066491961479187,1.0574421882629395,1.5974041223526,1.4574483633041382,-8.586562247165052,-8.94939815040577,4.9233597625318675,5.479526635860129,-10.01736580929675,-11.47449651789506,-7.136962960004173,-8.532690629035285,1.4637303709205132,0.9034076945401087,-5.931113974801034,-7.111874632979667,0.9459965368780047,0.999416194026872
3071,D2_S1_M00,5,0.4546733112619557,0.62206541530421,0.5665427980662755,0.3599732608649148,0.29747444577859045,1.043883204460144,1.0317670106887817,1.6409732103347778,1.5814168453216553,-8.234235552036077,-9.197370954647399,3.764869313167643,4.889986720012278,-8.78463939933152,-13.811349682256303,-6.640256577642429,-10.244378985931807,0.5480076326035985,-1.1586772165864945,-4.149447609097309,-7.563942663853523,0.9941920521791431,0.38510957772549875
3072,D2_S1_M00,6,0.4803525797860507,0.5966658162187835,0.6102060721784726,0.2826141927870695,0.2972924007617525,1.0520691871643066,1.0451035499572754,1.2756541967391968,1.263502597808838,-7.603982407187057,-7.402256818131449,3.377236156934103,3.0139951067784994,-10.693511828513538,-10.12664214931306,-5.628880268726824,-4.971797517764806,-0.3936398820024719,-0.2289240995674567,-3.368589236480074,-2.704923177818343,0.9965844416905916,0.9974771874193218
3073,D2_S1_M00,7,0.4831928842013343,0.6212849492795146,0.6212532290998491,0.278873695648116,0.28297413770076585,1.0463095903396606,1.0493700504302979,1.3726816177368164,1.3367990255355835,-8.019284718627294,-7.924427039015071,3.2046246916714596,2.996851443889715,-9.262618908091694,-8.687189139990107,-6.202016659483589,-5.838152148310596,0.11325749549641373,0.3283494444766314,-3.6966722091879554,-3.325615681226592,0.8691488424300545,0.9924078764248728
3074,D2_S1_M00,8,0.439276741033493,0.5722988710660092,0.5461787498834318,0.2917386315754287,0.23403037775229837,1.0541056394577026,1.0560745000839233,0.9605825543403625,0.9827478528022766,-8.419475491762704,-8.279621672891963,3.4153826677078647,3.689174685347851,-10.152074905644902,-9.441340785319852,-8.097054109515136,-7.580319320343877,0.7361163297933597,1.802731518183229,-5.974043868367671,-6.013288634431459,0.9421811098337686,0.9358129592158095
3075,D2_S1_M01,1,0.6152528126343556,0.7350738953840593,0.7108666391874051,0.3878789049390658,0.3557710858412611,1.0901494026184082,1.0565557479858398,1.6010379791259766,1.5319254398345947,-7.605876269117904,-7.863331969810085,4.714337472919757,4.8941383582730635,-8.099209439100596,-9.58083176271986,-4.8243102710325445,-5.3338441702980965,0.3252026372239657,-0.48244096015147964,-2.1844569205330293,-2.4240538322500615,0.9754564487949491,0.97784483136149
3076,D2_S1_M01,2,0.49483654613573647,0.6032209847056978,0.6207837602656165,0.2944473833065046,0.2825190419215358,1.0371536016464233,1.0339778661727905,1.2170401811599731,1.16902756690979,-7.494907478865387,-7.948703525030073,2.7339172350513143,3.08999046734978,-8.183510081537385,-8.639358987481966,-5.484154373826029,-6.222603531942072,0.6174770904431497,0.8507242027330285,-3.0640682533100296,-4.051544074607124,0.9994811063350469,0.866752012463771
