global_index,file_name,chunk_index,MBSTOI,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R),HASPI (L),HASPI (R)
1,D1_S1_M00,1,0.4504827721636038,0.5134707455723728,0.5123710798835119,0.36570596871409605,0.36708807168328395,1.1915086507797241,1.2132446765899658,2.1538140773773193,2.131714344024658,-0.3821978670463616,-0.20142602287738887,7.286167412698438,7.355228829655753,-30.21428214579746,-32.191304273211394,-0.06681593452549321,-0.0347932620363593,-0.04290425794369815,-0.023358463976426085,-1.5319450332141673,-1.155671448020081,0.817299122908394,0.7414664787740045
2,D1_S1_M00,2,0.504368492880911,0.5804683605693398,0.575564112648338,0.4646176938740717,0.4618131718974308,1.2091988325119019,1.2111397981643677,1.9610027074813843,1.9669948816299438,-0.03645287686512353,0.007654228879739709,7.008221630860186,6.972383002881279,-19.16099968192245,-19.544736975954958,0.05065024293138111,0.04123787311181619,0.06731450527633617,0.04978979461956666,0.5157973614499333,0.8342212223859536,0.7282791649828438,0.517184915671588
3,D1_S1_M00,3,0.336519100328344,0.4186711337597575,0.4144521071561948,0.23366689399321355,0.24020587805523572,1.2142904996871948,1.2215520143508911,2.165271282196045,1.828172206878662,-0.7089780709369152,-0.3174019023031612,7.661703821523322,7.393214713840277,-28.927404455834235,-35.01912868583656,-0.08298655361340494,-0.02863490123702604,-0.050524081060076616,-0.01664426532362459,-2.7800722823518296,-2.6274087911569626,0.7630884528508785,0.4791362464146092
4,D1_S1_M00,4,0.2612740693794234,0.3724426386990051,0.3600598492230493,0.2298037259221902,0.2234461945220152,2.172679901123047,1.196500539779663,2.151949882507324,1.9876567125320435,-0.5037266295459844,-0.17830767851431423,7.263334892741018,7.22058559388893,-25.01648258096934,-26.48253076772981,-0.022576206205592565,0.0009463794763230885,0.05049784643335613,0.030114800320222998,-5.287943268064085,-5.614302677531091,0.2131549622843738,0.06832561424385078
5,D1_S1_M00,5,0.4801834715776656,0.6387429202847799,0.6311548318516454,0.46932054672938744,0.4623433683826251,1.2704702615737915,1.1836631298065186,2.2140157222747803,2.1220555305480957,-0.4192996545345199,-0.12080129500720849,7.1963658082124065,7.49164074183836,-21.14287635390401,-25.32648465979097,-0.1363772284887391,-0.03700875398875221,-0.11076219270518911,-0.03104858328726722,0.2035394268454287,0.15665936170001546,0.9607181306511035,0.9247586670234448
6,D1_S1_M00,6,0.40900223644723127,0.49409076360176485,0.4960496235138816,0.34137517870135164,0.3431345735734206,1.2315458059310913,1.2350890636444092,1.9231308698654175,1.9288891553878784,-0.4691508725849534,-0.374399419925927,5.789114015609165,5.937195929118941,-66.23642473919527,-77.53517604688977,-0.06284621717500044,-0.04723941124476005,-0.0056839052923610064,-0.004270167178780849,-9.680563786495089,-9.929736800027694,0.9460431203662573,0.9369765363319589
7,D1_S1_M00,7,0.4008339339935853,0.48725682395220266,0.48799276136445113,0.3032335248209511,0.3035932338365207,1.2030653953552246,1.202787160873413,1.9511557817459106,1.9523916244506836,-0.8511871448728515,-0.6465233073398755,6.01306460680156,6.159601420717505,-29.579116264558213,-27.67884274861587,-0.1105514909145949,-0.09281457687819579,-0.045681552919839864,-0.04527453687160457,-9.040957982669788,-9.374264973460093,0.8823796613199614,0.8737328203058904
8,D1_S1_M00,8,0.3514079130881511,0.4205452015200642,0.4346953621640676,0.26284835251232436,0.2672183020786497,1.2093878984451294,1.2054193019866943,1.7239058017730713,1.7700207233428955,-0.9798651738669172,-0.6737187984260509,6.271615482379052,6.291398221167165,-29.598830342365865,-25.015884679410693,-0.12078246054576286,-0.10828223052613022,-0.06076405869822013,-0.06980780798078694,-4.5496989654967575,-3.9992633699909956,0.8931666579713086,0.8900008469171067
9,D1_S1_M01,1,0.687835718168557,0.725909627169429,0.7308931099974117,0.5108520116987953,0.5173337067854623,1.3750808238983154,1.3797049522399902,2.268800735473633,2.260286808013916,-0.1166276455337075,-0.0361878473940484,8.079200208757227,8.191606055231052,-13.311519736517567,-13.097585165413978,0.13768392207047345,0.11618301249998736,0.16186182531226384,0.13028886876221665,-1.5733653723822971,-1.4532947948325847,0.9004243274840075,0.8733758217309263
10,D1_S1_M01,2,0.5569824371865871,0.6043904926755013,0.6074835649003494,0.41931075534324186,0.4137726524000604,1.2671916484832764,1.274503469467163,2.024627685546875,2.029837131500244,0.09745405119123483,0.13701975917133744,7.220021213027921,7.124453851413975,-8.387136835049041,-6.448696854700332,0.2711097443089797,0.24543741289686452,0.2963187418473525,0.2566159375587176,-1.0084689881419175,-0.037210906127692046,0.7921479411580807,0.8425264975827562
11,D1_S1_M01,3,0.3325674747899441,0.3889180392315242,0.38510729045257797,0.17701582085827036,0.1814523716292285,1.1302199363708496,1.1306712627410889,2.074767827987671,2.01900577545166,-0.23396384455742278,-0.016150511626952278,7.904783814487342,7.8070323574321225,-14.097573435000644,-12.125897016914948,0.1651014410090701,0.19610114347934476,0.29348262654009827,0.25598985059846857,-7.837217032452531,-7.730743140955401,0.5421777532207909,0.21759860460375946
12,D1_S1_M01,4,0.5004545315385852,0.6278984227594482,0.6390257814382719,0.2855849449615802,0.2965355212106152,1.3038616180419922,1.1787257194519043,1.991974949836731,1.9964015483856201,-0.4912257787049134,0.13310109799530545,7.986278319728248,9.117712387766261,-15.490879144007836,-6.909838608027595,0.11952718387605263,0.2191627033272794,0.19483740698967839,0.2320823725138381,-5.132812719527796,-3.0705167276454075,0.8057752413268009,0.4299760269984608
13,D1_S1_M01,5,0.5417081079025602,0.6045188553577456,0.6037305636122395,0.40524530007385284,0.4113273549970144,1.2401542663574219,1.249140977859497,2.156996726989746,2.1044394969940186,-0.06260230033132429,0.0838388139912552,7.509913717485875,7.867914085898048,-11.09101083334574,-8.98665022712389,0.21210669458466624,0.19701442502599611,0.24784405364396758,0.21123307516680323,-2.1445836086531918,-1.0920400112259947,0.9594033602785376,0.9471053593074773
14,D1_S1_M01,6,0.5323931544497329,0.6080930411287244,0.6322221268693846,0.46772284215324944,0.471836830861508,1.329615592956543,1.336491346359253,2.180537462234497,2.21574068069458,-0.054983061685815356,0.19956615565203342,7.11710964760829,8.016504983771794,-5.4236167740569075,-0.6242197699446521,0.37903024164314075,0.34987004106422437,0.3992106227414541,0.3549667371691908,1.1413372053961355,3.5420764565494705,0.5506414835469352,0.299218507125384
15,D1_S1_M01,7,0.3811509071199882,0.5131935735744945,0.5218637338607814,0.26053694750314216,0.26678070751542104,1.376041293144226,1.3486604690551758,2.4177205562591553,2.30375599861145,-0.39664313548526403,0.10530864204801112,9.248039901614952,9.89587985704223,-50.35897825053827,-7.684621721846118,-0.08983906378682832,0.20129352175543902,-0.036030921045480765,0.21233323763821252,-2.259339215049649,-1.3339020558496433,0.31697778226734596,0.13024911962151223
16,D1_S1_M01,8,0.3736149887619983,0.4819605241407895,0.4850988798231279,0.35585858616366167,0.3510677483238983,1.3809174299240112,1.246598243713379,2.08152437210083,2.0811169147491455,-0.6837152893456002,0.051416709269897505,8.983886661890162,9.525532683908045,-18.76127781032376,-12.766389360390423,0.00702217659314542,0.15559078491848596,0.1899680782248334,0.19236514765260604,-7.096460021977401,-5.7499223335472465,0.7337718536307513,0.09273429801933158
17,D1_S1_M01,9,0.6208495379808011,0.7111279404046676,0.7098362062455285,0.512544029241722,0.515496877547402,1.2505409717559814,1.2456574440002441,1.9294623136520386,1.924257516860962,-0.36070928670870117,-0.284014241900297,6.693937064864292,6.802665917905109,-22.34914223322333,-20.98025225932612,0.019538535681306608,0.03405811657855276,0.045396257814834744,0.05309090633371236,0.5218768351520754,1.0335099445815472,0.8317290144999857,0.7989164560799636
18,D1_S1_M01,10,0.5067848048002584,0.5736408546469973,0.5762689689537712,0.361407829530817,0.36292414752387736,1.2076475620269775,1.2032101154327393,2.0129785537719727,2.0142409801483154,-0.6246472173218306,-0.4542947758296211,5.860223876160907,6.13692720599093,-22.52668066837557,-20.56838544621087,0.010048373650224979,0.036448332862049154,0.05341634527410265,0.0668284704947313,-1.277244439689194,-0.9454880615051481,0.9965174514744941,0.998019239234672
19,D1_S1_M01,11,0.4193202411639811,0.543382798929604,0.543697998787729,0.3638417727642113,0.36521338127819886,1.1733944416046143,1.1302236318588257,1.8866639137268066,1.8853014707565308,-0.4945341820467213,-0.556774517890354,6.22497079420441,6.555820060567088,-32.95435514662036,-55.202242560581716,-0.04836453115282742,-0.06997268422551582,-0.004427704655968834,-0.02430125589829088,-1.6878205148884913,-2.4409136360829295,0.40149105774800786,0.38961291566267753
